,DATE,MARKET_CAP,MATIC_AVERAGE_PRICE,CIRCULATING_SUPPLY,HOLDERS
160,2021-12-25,16406922200.679,2.555094817,6421257673.33256,295010
161,2022-03-12,9060431568.01438,1.415551121,6400638896.59962,376312
162,2022-03-15,8762820300.40056,1.367231971,6409168659.76829,377604
163,2022-04-14,9199387044.6902,1.400002562,6570978720.50923,395548
164,2022-04-27,8242081022.43936,1.261860027,6531691982.00799,402549
165,2022-06-24,4276806084.07673,0.5965539729,7169185485.5956,430823
166,2021-04-14,1976563456.51286,0.407436048,4851223809.06048,55012
167,2021-05-07,3949750826.49584,0.766268329,5154527046.305,71523
168,2020-07-04,59176117.9834531,0.01930751111,3064927305.21727,4850
169,2021-06-13,7053492364.19259,1.371188561,5144071766.77671,71795
170,2021-12-31,16440610078.6588,2.559790075,6422639980.93373,308415
171,2021-12-30,16170789296.5789,2.517164071,6424209483.32542,305990
172,2022-02-15,11357943626.0056,1.766433185,6429874461.59984,356546
173,2022-03-28,11036247310.6275,1.707670767,6462748866.17084,384973
174,2022-04-11,9001375271.61699,1.382225627,6512232950.99207,392721
175,2022-04-21,9368799457.86913,1.428876278,6556760444.18034,399030
176,2020-07-01,59331588.8500064,0.01903341737,3117232586.66607,4632
177,2020-07-24,62423340.8898638,0.02095833187,2978449872.57575,6419
178,2020-06-27,68908274.9220767,0.02085377129,3304355550.44395,3979
179,2022-07-12,4030580222.40192,0.5699129872,7072272983.42224,438072
180,2020-11-04,48029494.3155326,0.01228954216,3908159773.54977,13100
181,2021-02-25,787629842.457711,0.1842669419,4274395800.10504,26331
182,2022-08-03,6287240471.07859,0.8995919967,6988991113.61729,445057
183,2021-02-09,339678734.193196,0.08013423996,4238871353.31872,21838
184,2021-07-03,5867281219.62674,1.115310346,5260671380.86894,71996
185,2021-08-03,5611956238.91359,1.049169275,5348952137.86929,102664
186,2021-08-05,5568696571.7788,1.042863665,5339812630.59062,104735
187,2021-10-19,8388341057.81226,1.483626882,5653942481.77587,195058
188,2022-01-29,11162010681.9357,1.703044408,6554151277.23827,336129
189,2022-03-10,9215702998.10547,1.440777014,6396342327.6825,375138
190,2022-04-06,9994340745.4369,1.535479763,6508936808.48288,392002
191,2020-08-16,87919184.2123029,0.02986414238,2943971505.73376,8718
192,2020-12-02,73981611.3935871,0.01913941964,3865405157.49692,15783
193,2020-12-16,74358553.927892,0.01937433585,3837992409.54252,15564
194,2021-01-14,123063160.9282,0.03038821042,4049700828.68848,18734
195,2020-05-29,84111612.3526303,0.02573623628,3268217288.48433,3361
196,2020-12-08,71543429.4984651,0.01856766756,3853118830.01489,15845
197,2020-08-15,87039678.5551051,0.02955700762,2944806852.15809,8526
198,2020-06-25,73014995.193805,0.02189173594,3335276626.47575,3917
199,2021-06-22,5811550865.97379,1.109432466,5238309718.07513,71984
200,2021-07-07,6027620918.03267,1.145789288,5260671380.86894,71996
201,2022-03-06,9467844600.28205,1.480970726,6392999157.31142,376767
202,2022-03-21,9428425031.89714,1.469539839,6415902981.73682,379870
203,2020-09-07,53425298.7741233,0.01817545887,2939419530.89426,9599
204,2020-09-23,57946209.8015523,0.01905112569,3041616057.4883,10354
205,2020-11-30,74497257.687583,0.01913666502,3892907024.55463,15664
206,2020-12-17,73743269.5743839,0.01930137992,3820621627.68082,15621
207,2021-01-17,134750286.184751,0.03297635322,4086270100.87307,19026
208,2022-07-31,6678552605.0132,0.954113563,6999746009.47757,451513
209,2022-06-26,4266189704.02081,0.595073138,7169185485.5956,430823
210,2021-10-29,12632260318.3621,2.032475112,6215210333.07861,212510
211,2020-12-18,75081050.4595573,0.01972871711,3805673224.88124,15749
212,2021-09-11,7272998491.0132,1.324641803,5490539762.26826,152194
213,2021-12-09,14903279282.0688,2.253984989,6611969181.37875,278909
214,2020-06-02,70391636.7236541,0.02153823645,3268217288.48433,3361
215,2022-02-28,9595293727.20566,1.497101013,6409249370.97283,372419
216,2022-05-13,4678242251.00381,0.6907962393,6772246263.82782,412749
217,2022-07-03,3351650693.99845,0.4730742386,7084830288.17006,432786
218,2020-10-30,46205632.9054566,0.01354325552,3411707977.64561,12955
