,NEW_ADDRESS,MIN_DATE,CUMULATIVE_ADDRESS
617,18971,2022-03-11,9974764
618,17296,2022-03-12,9992060
619,18330,2022-03-13,10010390
620,22939,2022-03-14,10033329
621,21575,2022-03-15,10054904
622,36598,2022-03-16,10091502
623,51819,2022-03-17,10143321
624,30317,2022-03-18,10173638
625,28773,2022-03-19,10202411
626,35073,2022-03-20,10237484
627,33390,2022-03-21,10270874
628,30517,2022-03-22,10301391
629,31394,2022-03-23,10332785
630,28796,2022-03-24,10361581
631,26901,2022-03-25,10388482
632,29045,2022-03-26,10417527
633,27196,2022-03-27,10444723
634,32291,2022-03-28,10477014
635,36180,2022-03-29,10513194
636,35569,2022-03-30,10548763
637,37159,2022-03-31,10585922
638,37873,2022-04-01,10623795
639,46065,2022-04-02,10669860
640,32857,2022-04-03,10702717
641,29237,2022-04-04,10731954
642,36626,2022-04-05,10768580
643,40255,2022-04-06,10808835
644,46573,2022-04-07,10855408
645,46832,2022-04-08,10902240
646,35014,2022-04-09,10937254
647,33725,2022-04-10,10970979
648,34598,2022-04-11,11005577
649,39062,2022-04-12,11044639
650,40580,2022-04-13,11085219
651,30699,2022-04-14,11115918
652,31940,2022-04-15,11147858
653,39607,2022-04-16,11187465
654,29006,2022-04-17,11216471
655,28578,2022-04-18,11245049
656,28600,2022-04-19,11273649
657,42377,2022-04-20,11316026
658,35465,2022-04-21,11351491
659,39445,2022-04-22,11390936
660,35675,2022-04-23,11426611
661,53282,2022-04-24,11479893
662,33935,2022-04-25,11513828
663,28816,2022-04-26,11542644
664,30082,2022-04-27,11572726
665,25717,2022-04-28,11598443
666,32689,2022-04-29,11631132
667,122743,2022-04-30,11753875
668,25979,2022-05-01,11779854
669,45423,2022-05-02,11825277
670,37934,2022-05-03,11863211
671,52575,2022-05-04,11915786
672,43590,2022-05-05,11959376
673,34014,2022-05-06,11993390
674,47214,2022-05-07,12040604
675,33084,2022-05-08,12073688
676,20590,2022-05-09,12094278
677,38474,2022-05-10,12132752
678,20990,2022-05-11,12153742
679,20392,2022-05-12,12174134
680,29562,2022-05-13,12203696
681,69769,2022-05-14,12273465
682,21852,2022-05-15,12295317
683,27701,2022-05-16,12323018
684,20739,2022-05-17,12343757
685,22973,2022-05-18,12366730
686,18711,2022-05-19,12385441
687,17507,2022-05-20,12402948
688,23042,2022-05-21,12425990
689,18154,2022-05-22,12444144
690,22828,2022-05-23,12466972
691,27119,2022-05-24,12494091
692,26022,2022-05-25,12520113
693,22268,2022-05-26,12542381
694,32398,2022-05-27,12574779
695,22737,2022-05-28,12597516
696,19838,2022-05-29,12617354
697,28439,2022-05-30,12645793
698,30401,2022-05-31,12676194
699,20779,2022-06-01,12696973
700,915,2022-06-02,12697888
701,239,2022-06-03,12698127
702,546,2022-06-04,12698673
703,9640,2022-06-05,12708313
704,26275,2022-06-06,12734588
705,19732,2022-06-07,12754320
706,14769,2022-06-08,12769089
707,79629,2022-06-09,12848718
708,21285,2022-06-10,12870003
709,35019,2022-06-11,12905022
710,37271,2022-06-12,12942293
711,19714,2022-06-13,12962007
712,38045,2022-06-14,13000052
713,25758,2022-06-15,13025810
714,27738,2022-06-16,13053548
715,27865,2022-06-17,13081413
716,33615,2022-06-18,13115028
717,53533,2022-06-19,13168561
718,43431,2022-06-20,13211992
719,32574,2022-06-21,13244566
720,41340,2022-06-22,13285906
721,48189,2022-06-23,13334095
722,77093,2022-06-24,13411188
723,90356,2022-06-25,13501544
724,81914,2022-06-26,13583458
725,179131,2022-06-27,13762589
726,57379,2022-06-28,13819968
727,48902,2022-06-29,13868870
728,48481,2022-06-30,13917351
729,6333,2022-07-01,13923684
730,4267,2022-07-02,13927951
731,6123,2022-07-03,13934074
732,3626,2022-07-04,13937700
733,3314,2022-07-05,13941014
734,45034,2022-07-06,13986048
735,32000,2022-07-07,14018048
736,35175,2022-07-08,14053223
737,37302,2022-07-09,14090525
738,44680,2022-07-10,14135205
